Start Time, Thu Jan 1 00:00:00 GMT+0000 2009,,
Energy calibration,  Offset: 0, Slope: 1, Quadratic: 0
Live Time (s),172800,,
Real Time (s),172808.1813,,
Elapsed Computational,0,,
Spectrum,,,
Channel, Energy (keV), Counts,
1606,1606,43,
1607,1607,40,
1608,1608,52,
1609,1609,39,
1610,1610,50,
1611,1611,40,
1612,1612,33,
1613,1613,52,
1614,1614,42,
1615,1615,41,
1616,1616,52,
1617,1617,59,
1618,1618,48,
1619,1619,46,
1620,1620,52,
1621,1621,40,
1622,1622,58,
1623,1623,36,
1624,1624,37,
1625,1625,44,
1626,1626,46,
1627,1627,46,
1628,1628,43,
1629,1629,42,
1630,1630,43,
1631,1631,40,
1632,1632,52,
1633,1633,40,
1634,1634,43,
1635,1635,43,
1636,1636,50,
1637,1637,51,
1638,1638,53,
1639,1639,43,
1640,1640,44,
1641,1641,33,
1642,1642,37,
1643,1643,41,
1644,1644,51,
1645,1645,53,
1646,1646,51,
1647,1647,58,
1648,1648,43,
